url,zip_code,locality,price,type_transaction,subtype_transaction,type_of_property,subtype_of_property,energy_class,heating_type,construction_year,number_of_frontages,surface_land,surface_livable_space,number_floors,building_condition,surroundings_type,furnished,nb_of_rooms,rooms_living_room,rooms_dining_room,rooms_kitchen_type_installed,rooms_kitchen_type_kitchen_surface,rooms_bedrooms_number,rooms_bedrooms_surface,rooms_bathrooms_number,rooms_toilets_number,rooms_laundry_room,rooms_office_presence,rooms_office_surface,rooms_basement_presence,rooms_basement_surface,rooms_attic,extras_open_fire,exterior_terrace_presence,exterior_terrace_surface,exterior_terrace_orientation,exterior_garden_presence,exterior_garden_surface,exterior_garden_orientation,exterior_swimming_pool
https://www.immoweb.be/en/classified/apartment/for-rent/liege/4000/11397561,4000,Liège,900.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,,2,,,3,As new,Urban,False,8,,,USA installed,,2,[],1,1,True,False,,False,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/woluwe-saint-pierre/1150/11332310,1150,Woluwe-Saint-Pierre,2700.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,,,,127,,As new,,True,11,,,Hyper equipped,,3,[],2,2,True,False,,True,,False,False,True,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/perwez/1360/11412755,1360,Perwez,870.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,A+,Fuel oil,,,,,,Just renovated,Countryside,False,8,,True,Installed,,1,[],,1,True,False,,True,,False,False,False,,,True,14000,,Yes
https://www.immoweb.be/en/classified/apartment/for-rent/lier/2500/11208640,2500,Lier,1390.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,,2,,125,3,Good,Urban,False,11,20,True,Installed,11,2,"['23', '11']",2,2,False,False,,False,,False,False,True,34,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/11458008,1050,Ixelles,3400.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,,,2,,150,,Good,,True,10,48,,Hyper equipped,,2,"['14', '14']",2,2,False,False,,False,,False,False,True,,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/11338857,1050,Ixelles,4400.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,,,,,233,,As new,,False,11,,,Hyper equipped,,3,"['28', '15', '13']",1,3,True,False,,False,,False,False,True,46,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/liege/4000/11334312,4000,Liège,800.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,2024,,,,,As new,"Living area (residential, urban or rural)",False,8,,True,False,,1,[],1,,True,False,,True,,False,False,False,10,,False,,,No
https://www.immoweb.be/en/classified/duplex/for-rent/ixelles/1050/11344391,1050,Ixelles,2975.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,C,Gas,1907,2,,149,3,Good,,False,12,50,,Hyper equipped,,3,"['26', '16', '12']",2,2,True,False,,False,,False,False,False,8,,False,,,No
https://www.immoweb.be/en/classified/penthouse/for-rent/forest/1190/11344390,1190,Forest,2975.0,FOR_RENT,RENT_REGULAR,APARTMENT,PENTHOUSE,C,Gas,1907,2,,149,3,Good,,False,12,50,,Hyper equipped,,3,"['26', '16', '12']",2,2,True,False,,False,,False,False,False,8,,False,,,No
https://www.immoweb.be/en/classified/ground-floor/for-rent/knokke-heist/8300/11376460,8300,Knokke-Heist,3500.0,FOR_RENT,RENT_REGULAR,APARTMENT,GROUND_FLOOR,B,Gas,1986,3,,94,,As new,,True,10,,,Semi equipped,,3,"['12', '10', '10']",2,2,False,False,,False,,False,False,True,,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/antwerpen/2000/11358814,2000,Antwerpen,4000.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,,2012,,,160,5,,,True,8,,,False,,2,[],2,,False,False,,False,,False,False,True,17,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/uccle/1180/11236496,1180,UCCLE,4500.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,Gas,2007,,,378,3,As new,Countryside,False,10,,,Hyper equipped,,4,[],2,,False,False,,False,,False,False,True,60,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/woluwe-saint-lambert/1200/11440719,1200,Woluwe-Saint-Lambert,1165.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,C,Gas,,,,,3,As new,,True,6,,,Hyper equipped,,1,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/bruxelles/1000/10813146,1000,Bruxelles,8000.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,C,Gas,1894,2,,595,3,As new,,False,15,,,Hyper equipped,,5,[],5,,True,True,,True,,False,False,True,10,,False,,,No
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-rent/oostende/8400/11201291,8400,Oostende,,FOR_RENT,RENT_REGULAR,APARTMENT_GROUP,APARTMENT_GROUP,Not specified,,,,,,,,,False,6,,,False,,,[],,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/charleroi/6061/11448854,6061,Charleroi,700.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,F,Gas,,2,,110,,Good,Urban,False,7,,,Semi equipped,,2,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/denderleeuw/9470/11452657,9470,Denderleeuw,800.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,Gas,,,,,,Good,Urban,False,7,,,Installed,,2,[],1,,False,False,,False,,False,False,True,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/beersel/1650/11422445,1650,Beersel,3500.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,D,Gas,,4,,400,1,As new,,False,16,,True,False,,5,[],3,4,False,True,,True,,False,True,True,,,False,,,Yes
https://www.immoweb.be/en/classified/house/for-rent/sleidinge/9940/11408779,9940,Sleidinge,940.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,C,,1950,3,,149,2,Good,Fitted out,False,9,,,False,,4,[],1,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/flat-studio/for-rent/antwerpen/2660/20003336,2660,Antwerpen,580.0,FOR_RENT,RENT_REGULAR,APARTMENT,FLAT_STUDIO,C,,,,,,,Good,,False,6,,,False,,,[],1,1,False,False,,False,,False,False,False,,,True,100,,False
https://www.immoweb.be/en/classified/villa/for-rent/genval/1332/11183316,1332,Genval,1550.0,FOR_RENT,RENT_REGULAR,HOUSE,VILLA,F,Electric,1978,4,730,120,,As new,,False,12,30,True,Hyper equipped,10,4,"['8', '8', '10', '17']",1,1,True,False,,False,,False,False,False,20,,True,730,,No
https://www.immoweb.be/en/classified/villa/for-rent/mons/7012/11441096,7012,Mons,2200.0,FOR_RENT,RENT_REGULAR,HOUSE,VILLA,C,Gas,1988,1,1700,,,As new,,False,13,18,True,USA installed,18,4,"['16', '16', '20', '20']",1,2,True,True,16,True,40,False,True,True,20,,True,1300,,No
https://www.immoweb.be/en/classified/house/for-rent/uccle/1180/11357663,1180,Uccle,2500.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,E,Gas,1979,4,183,183,1,As new,,False,9,,,Hyper equipped,,2,"['16', '15']",2,2,False,False,,False,,False,False,True,,,False,,,False
